Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20116137325.8206
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15131866270.5936
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,145009181490.62
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,709000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891001149.3611
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,53619071176.139
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1370281481.48148
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,389591035520.675
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641209802.112
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2496648044.69274
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1327836171068.51
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,433258467676.515
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,9699500000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,34723357446.8085
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373902134700.41
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4689534961.75956
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61489588894.8211
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,521676942134.632
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1585631670.3461
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15651545331.5404
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6881662000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2315436303.29988
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,36629843806.0781
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,19955120004.6604
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14930072799.0084
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1448565936739.56
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12005825769.5087
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,69889347433.4324
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,17933606353.1775
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2780510624.64184
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1703698676.69742
